,station,linename_x,entries,exits,total,Unnamed: 0,linename_y,zipcode,lat_long,population,f_m_ratio,avg_age,ratio_wealthy,Rich Women
64,157 ST,1,281975.0,192269.0,474244.0,36,1,10032,"40.839194, -73.942591",63842,1.09,32.0,0.011000000000000001,382.7327900000001
63,155 ST,C,79997.0,64550.0,144547.0,35,C,10032,"40.839194, -73.942591",63842,1.09,32.0,0.011000000000000001,382.7327900000001
62,155 ST,BD,81979.0,45131.0,127110.0,35,C,10032,"40.839194, -73.942591",63842,1.09,32.0,0.011000000000000001,382.7327900000001
41,137 ST CITY COL,1,319906.0,278998.0,598904.0,22,1,10031,"40.825857, -73.949451",60221,1.07,32.3,0.0070999999999999995,228.7494685
42,145 ST,1,247505.0,195887.0,443392.0,29,1,10031,"40.825857, -73.949451",60221,1.07,32.3,0.0070999999999999995,228.7494685
43,145 ST,1,247505.0,195887.0,443392.0,30,ABCD,10031,"40.825857, -73.949451",60221,1.07,32.3,0.0070999999999999995,228.7494685
44,145 ST,ABCD,567352.0,552189.0,1119541.0,29,1,10031,"40.825857, -73.949451",60221,1.07,32.3,0.0070999999999999995,228.7494685
45,145 ST,ABCD,567352.0,552189.0,1119541.0,30,ABCD,10031,"40.825857, -73.949451",60221,1.07,32.3,0.0070999999999999995,228.7494685
12,116 ST,23,254683.0,118150.0,372833.0,11,23,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
13,116 ST,6,339401.0,200685.0,540086.0,13,BC,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
16,116 ST,BC,164766.0,107133.0,271899.0,11,23,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
11,116 ST,23,254683.0,118150.0,372833.0,13,BC,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
14,116 ST,6,339401.0,200685.0,540086.0,11,23,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
15,116 ST,BC,164766.0,107133.0,271899.0,13,BC,10026,"40.802320, -73.952943",30377,1.12,32.0,0.012,204.13344
38,135 ST,23,336048.0,92042.0,428090.0,21,BC,10030,"40.818492, -73.943283",25847,1.19,32.2,0.011899999999999999,183.0096835
39,135 ST,BC,120791.0,94216.0,215007.0,20,23,10030,"40.818492, -73.943283",25847,1.19,32.2,0.011899999999999999,183.0096835
37,135 ST,23,336048.0,92042.0,428090.0,20,23,10030,"40.818492, -73.943283",25847,1.19,32.2,0.011899999999999999,183.0096835
40,135 ST,BC,120791.0,94216.0,215007.0,21,BC,10030,"40.818492, -73.943283",25847,1.19,32.2,0.011899999999999999,183.0096835
17,116 ST,23,254683.0,118150.0,372833.0,12,6,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
18,116 ST,6,339401.0,200685.0,540086.0,12,6,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
19,116 ST,BC,164766.0,107133.0,271899.0,12,6,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
21,125 ST,1,191088.0,196114.0,387202.0,18,456,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
22,125 ST,23,347414.0,140692.0,488106.0,18,456,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
23,125 ST,456,667268.0,605235.0,1272503.0,18,456,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
24,125 ST,ACBD,674369.0,579269.0,1253638.0,18,456,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
20,116 ST-COLUMBIA,1,359230.0,189269.0,548499.0,14,1,10035,"40.795487, -73.929501",32702,1.02,32.4,0.005200000000000001,86.72570400000001
60,155 ST,BD,81979.0,45131.0,127110.0,34,BD,10039,"40.826296, -73.937053",21737,1.27,32.3,0.0059,81.4376705
61,155 ST,C,79997.0,64550.0,144547.0,34,BD,10039,"40.826296, -73.937053",21737,1.27,32.3,0.0059,81.4376705
